window_start_utc,settled_up,slug,source,up_mid_open,mid_seconds_remaining,open_price,close_price
2025-12-26 09:45:00+00:00,1,btc-updown-15m-1766742300,bot.hist_windows,,,,
2025-12-26 10:00:00+00:00,1,btc-updown-15m-1766743200,bot.hist_windows,,,,
2025-12-26 10:15:00+00:00,0,btc-updown-15m-1766744100,bot.hist_windows,,,,
2025-12-26 10:30:00+00:00,0,btc-updown-15m-1766745000,bot.hist_windows,,,,
2025-12-26 10:45:00+00:00,0,btc-updown-15m-1766745900,bot.hist_windows,,,,
2025-12-26 11:00:00+00:00,0,btc-updown-15m-1766746800,bot.hist_windows,,,,
2025-12-26 11:15:00+00:00,0,btc-updown-15m-1766747700,bot.hist_windows,,,,
2025-12-26 11:30:00+00:00,0,btc-updown-15m-1766748600,bot.hist_windows,,,,
2025-12-26 11:45:00+00:00,0,btc-updown-15m-1766749500,bot.hist_windows,,,,
2025-12-26 12:00:00+00:00,1,btc-updown-15m-1766750400,bot.hist_windows,,,,
2025-12-26 12:15:00+00:00,1,btc-updown-15m-1766751300,bot.hist_windows,,,,
2025-12-26 12:30:00+00:00,1,btc-updown-15m-1766752200,bot.hist_windows,,,,
2025-12-26 12:45:00+00:00,0,btc-updown-15m-1766753100,bot.hist_windows,,,,
2025-12-26 13:00:00+00:00,1,btc-updown-15m-1766754000,bot.hist_windows,,,,
2025-12-26 13:15:00+00:00,0,btc-updown-15m-1766754900,bot.hist_windows,,,,
2025-12-26 13:30:00+00:00,1,btc-updown-15m-1766755800,bot.hist_windows,,,,
2025-12-26 13:45:00+00:00,1,btc-updown-15m-1766756700,bot.hist_windows,,,,
2025-12-26 14:00:00+00:00,0,btc-updown-15m-1766757600,bot.hist_windows,,,,
2025-12-26 14:15:00+00:00,1,btc-updown-15m-1766758500,bot.hist_windows,,,,
2025-12-26 14:30:00+00:00,0,btc-updown-15m-1766759400,bot.hist_windows,,,,
2025-12-26 14:45:00+00:00,0,btc-updown-15m-1766760300,bot.hist_windows,,,,
2025-12-26 15:00:00+00:00,0,btc-updown-15m-1766761200,bot.hist_windows,,,,
2025-12-26 15:15:00+00:00,1,btc-updown-15m-1766762100,bot.hist_windows,,,,
2025-12-26 15:30:00+00:00,1,btc-updown-15m-1766763000,bot.hist_windows,,,,
2025-12-26 15:45:00+00:00,1,btc-updown-15m-1766763900,bot.hist_windows,,,,
2025-12-26 16:00:00+00:00,0,btc-updown-15m-1766764800,bot.hist_windows,,,,
2025-12-26 16:15:00+00:00,1,btc-updown-15m-1766765700,bot.hist_windows,,,,
2025-12-26 16:30:00+00:00,1,btc-updown-15m-1766766600,bot.hist_windows,,,,
2025-12-26 16:45:00+00:00,0,btc-updown-15m-1766767500,bot.hist_windows,,,,
2025-12-26 17:00:00+00:00,1,btc-updown-15m-1766768400,bot.hist_windows,,,,
2025-12-26 17:15:00+00:00,1,btc-updown-15m-1766769300,bot.hist_windows,,,,
2025-12-26 17:30:00+00:00,1,btc-updown-15m-1766770200,bot.hist_windows,,,,
2025-12-26 17:45:00+00:00,0,btc-updown-15m-1766771100,bot.hist_windows,,,,
2025-12-26 18:00:00+00:00,1,btc-updown-15m-1766772000,bot.hist_windows,,,,
2025-12-26 18:15:00+00:00,0,btc-updown-15m-1766772900,bot.hist_windows,,,,
2025-12-26 18:30:00+00:00,1,btc-updown-15m-1766773800,bot.hist_windows,,,,
2025-12-26 18:45:00+00:00,1,btc-updown-15m-1766774700,bot.hist_windows,,,,
2025-12-26 19:00:00+00:00,1,btc-updown-15m-1766775600,bot.hist_windows,,,,
2025-12-26 19:15:00+00:00,1,btc-updown-15m-1766776500,bot.hist_windows,,,,
2025-12-26 19:30:00+00:00,1,btc-updown-15m-1766777400,bot.hist_windows,,,,
2025-12-26 19:45:00+00:00,1,btc-updown-15m-1766778300,bot.hist_windows,,,,
2025-12-26 20:00:00+00:00,1,btc-updown-15m-1766779200,bot.hist_windows,,,,
2025-12-26 20:15:00+00:00,1,btc-updown-15m-1766780100,bot.hist_windows,,,,
2025-12-26 20:30:00+00:00,1,btc-updown-15m-1766781000,bot.hist_windows,,,,
2025-12-26 20:45:00+00:00,0,btc-updown-15m-1766781900,bot.hist_windows,,,,
2025-12-26 21:00:00+00:00,1,btc-updown-15m-1766782800,bot.hist_windows,,,,
2025-12-26 21:15:00+00:00,0,btc-updown-15m-1766783700,bot.hist_windows,,,,
2025-12-26 21:30:00+00:00,0,btc-updown-15m-1766784600,bot.hist_windows,,,,
2025-12-26 21:45:00+00:00,0,btc-updown-15m-1766785500,bot.hist_windows,,,,
2025-12-26 22:00:00+00:00,0,btc-updown-15m-1766786400,bot.hist_windows,,,,
2025-12-26 22:15:00+00:00,0,btc-updown-15m-1766787300,bot.hist_windows,,,,
2025-12-26 22:30:00+00:00,0,btc-updown-15m-1766788200,bot.hist_windows,,,,
2025-12-26 22:45:00+00:00,1,btc-updown-15m-1766789100,bot.hist_windows,,,,
2025-12-26 23:00:00+00:00,0,btc-updown-15m-1766790000,bot.hist_windows,,,,
2025-12-26 23:15:00+00:00,0,btc-updown-15m-1766790900,bot.hist_windows,,,,
2025-12-26 23:30:00+00:00,0,btc-updown-15m-1766791800,bot.hist_windows,,,,
2025-12-26 23:45:00+00:00,1,btc-updown-15m-1766792700,bot.hist_windows,,,,
2025-12-27 00:00:00+00:00,0,btc-updown-15m-1766793600,bot.hist_windows,,,,
2025-12-27 00:15:00+00:00,0,btc-updown-15m-1766794500,bot.hist_windows,,,,
2025-12-27 00:30:00+00:00,1,btc-updown-15m-1766795400,bot.hist_windows,,,,
2025-12-27 00:45:00+00:00,1,btc-updown-15m-1766796300,bot.hist_windows,,,,
2025-12-27 01:00:00+00:00,0,btc-updown-15m-1766797200,bot.hist_windows,,,,
2025-12-27 01:15:00+00:00,0,btc-updown-15m-1766798100,bot.hist_windows,,,,
2025-12-27 01:30:00+00:00,1,btc-updown-15m-1766799000,bot.hist_windows,,,,
2025-12-27 01:45:00+00:00,1,btc-updown-15m-1766799900,bot.hist_windows,,,,
2025-12-27 02:00:00+00:00,0,btc-updown-15m-1766800800,bot.hist_windows,,,,
2025-12-27 02:15:00+00:00,0,btc-updown-15m-1766801700,bot.hist_windows,,,,
2025-12-27 02:30:00+00:00,1,btc-updown-15m-1766802600,bot.hist_windows,,,,
2025-12-27 02:45:00+00:00,0,btc-updown-15m-1766803500,bot.hist_windows,,,,
2025-12-27 03:00:00+00:00,0,btc-updown-15m-1766804400,bot.hist_windows,,,,
2025-12-27 03:15:00+00:00,1,btc-updown-15m-1766805300,bot.hist_windows,,,,
